bookID,Title,press,year,Paradigm,Seriously_Realism,Seriously_Liberalism,Seriously_Marxism,Seriously_Constructivism,Seriously_NonParadigmatic,Seriously_AtheoreticNone,Synthesis_Realism,Synthesis_Liberalism,Synthesis_Marxism,Synthesis_Constructivism,Synthesis_NonParadigmatic,Synthesis_NoSynthesis,Ideational,Material,Epistemology,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_None,Contemporary,PolicyPrescription,IssueArea,Level_1,Level_2,Level_3,Level_None,Methodology_AnalyticNonFormal,Methodology_Counterfactual,Methodology_Descriptive,Methodology_Experimental,Methodology_FormalModeling,Methodology_PolicyAnalysis,Methodology_Qualitative,Methodology_Quantitative,Region_Antartica,Region_CanadaWestEurope,Region_EastAsia,Region_FSUEasternEurope,Region_Global,Region_LatinAmerica,Region_MiddleEastNorthAfrica,Region_None,Region_Oceania,Region_SouthAsia,Region_SoutheastAsia,Region_SubSaharanAfrica,Region_UnitedStates,Focus_Alliances,Focus_BalanceofPower,Focus_BargainingDeterrenceStrategy,Focus_Development,Focus_Diplomacy,Focus_DomesticPolitics,Focus_EconomicInterdependence,Focus_Environment,Focus_EthnicityReligion,Focus_ForeignAid,Focus_ForeignPolicy,Focus_Gender,Focus_Humanitarian,Focus_IGO,Focus_InterstateCrisis,Focus_InterstateWar,Focus_IntlLaw,Focus_IntrastateConflict,Focus_IRDiscipline,Focus_ItnlRegimes,Focus_Migration,Focus_MonetaryPolicy,Focus_NGO,Focus_NorthSouthRelations,Focus_PublicHealth,Focus_PublicOpinion,Focus_RegimeType,Focus_RegionalIntegration,Focus_Sanctions,Focus_Terrorism,Focus_Trade,Focus_WeaponSystems,Focus_WMDProliferation,Focus_Other
175,Asia-Pacific Strategic Relations: Seeking Convergent Security (Cambridge Asia-Pacific Studies),Cambridge,2001,Realist,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Positivist,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,International Security,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
528,Britain's Policy for West German Rearmament 1950-1955 (Cambridge Studies in International Relations),Cambridge,2010,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Non-Positivist/Post-Positivist,No,No,No,No,No,Yes,Yes,No,No,No,No,No,International Security,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
302,China and Vietnam: The Politics of Asymmetry,Cambridge,2006,Realist,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Positivist,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Comparative Foreign Policy,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
468,Follies of Power: America's Unipolar Fantasy,Cambridge,2009,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Non-Positivist/Post-Positivist,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,US Foreign Policy,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
278,How the Weak Win Wars: A Theory of Asymmetric Conflict (Cambridge Studies in International Relations),Cambridge,2005,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Positivist,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,International Security,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
201,India in the World Order: Searching for Major-Power Status (Contemporary South Asia),Cambridge,2002,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Positivist,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Comparative Foreign Policy,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No
364,"Neorealism, States, and the Modern Mass Army",Cambridge,2007,Realist,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Positivist,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,International Security,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
167,Perfect Deterrence (Cambridge Studies in International Relations),Cambridge,2000,Realist,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Positivist,No,No,No,No,No,No,No,No,No,Yes,N/A,No,International Security,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
554,Realist Constructivism: Rethinking International Relations Theory,Cambridge,2010,Realist,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Non-Positivist/Post-Positivist,No,No,No,No,No,No,No,No,No,Yes,N/A,No,IR theory,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
236,Regions and Powers: The Structure of International Security (Cambridge Studies in International Relations),Cambridge,2003,Realist,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Non-Positivist/Post-Positivist,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,International Security,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
