genderpolicy_Response,gender,genderpolicy_2__Response,ResponseId
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,597
Don't know,m,Change my behavior by causing me to cite more women,996
Approve,f,Change my behavior by causing me to cite more women,856
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1059
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,315
Approve,f,Change my behavior by causing me to cite more women,744
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1258
Approve,m,Change my behavior by causing me to cite more women,192
Approve,m,Change my behavior by causing me to cite more women,539
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,160
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1320
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1113
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,687
Don't know,m,Change my behavior by causing me to cite more women,1272
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,186
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1045
Approve,m,Change my behavior by causing me to cite more women,1056
Approve,f,Change my behavior by causing me to cite more women,613
Approve,m,Change my behavior by causing me to cite more women,102
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1364
Approve,m,Change my behavior by causing me to cite more women,786
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,803
Don't know,m,Change my behavior by causing me to cite more women,477
Approve,m,Change my behavior by causing me to cite more women,1238
Don't know,m,Change my behavior by causing me to cite more women,1168
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1253
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,503
Approve,f,Change my behavior by causing me to cite more women,356
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,912
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,701
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,540
Approve,m,Change my behavior by causing me to cite more women,446
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,111
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,986
Approve,f,Change my behavior by causing me to cite more women,1086
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1401
Approve,f,Change my behavior by causing me to cite more women,879
Disapprove,m,Change my behavior by causing me to cite more women,114
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,592
Approve,m,Change my behavior by causing me to cite more women,449
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,465
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1321
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,579
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,372
Approve,m,Change my behavior by causing me to cite more women,1246
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,426
Approve,m,Change my behavior by causing me to cite more women,1358
Approve,m,Change my behavior by causing me to cite more women,653
Approve,m,Change my behavior by causing me to cite more women,346
Approve,m,Change my behavior by causing me to cite more women,652
Disapprove,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,479
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1071
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1180
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,684
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,156
Approve,m,Change my behavior by causing me to cite more women,334
Don't know,m,Change my behavior by causing me to cite more women,1001
Approve,f,Change my behavior by causing me to cite more women,1413
Don't know,f,Change my behavior by causing me to cite more women,1185
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1165
Approve,m,Change my behavior by causing me to cite more women,1329
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,644
Don't know,m,Change my behavior by causing me to cite more women,301
Approve,m,Change my behavior by causing me to cite more women,1261
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1324
Approve,f,Change my behavior by causing me to cite more women,922
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,643
Approve,m,Change my behavior by causing me to cite more women,631
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1405
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,806
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1348
Approve,f,Change my behavior by causing me to cite more women,792
Approve,f,Change my behavior by causing me to cite more women,866
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,402
Approve,m,Change my behavior by causing me to cite more women,1015
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1037
Approve,f,Change my behavior by causing me to cite more women,1281
Disapprove,m,Change my behavior by causing me to cite more women,732
Approve,m,Change my behavior by causing me to cite more women,874
Approve,f,Change my behavior by causing me to cite more women,110
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,219
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,421
Approve,f,Change my behavior by causing me to cite more women,487
Approve,m,Change my behavior by causing me to cite more women,105
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1318
Approve,m,Change my behavior by causing me to cite more women,167
Approve,f,Change my behavior by causing me to cite more women,859
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1278
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,140
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,798
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,42
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,770
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,943
Approve,m,Change my behavior by causing me to cite more women,1417
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,517
Approve,m,Change my behavior by causing me to cite more women,1280
Approve,m,Change my behavior by causing me to cite more women,494
Approve,f,Change my behavior by causing me to cite more women,686
Approve,m,Change my behavior by causing me to cite more women,255
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,741
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,823
Approve,m,Change my behavior by causing me to cite fewer women,923
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,527
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1349
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1092
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,871
Approve,m,Change my behavior by causing me to cite more women,1136
Don't know,m,Change my behavior by causing me to cite more women,74
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,377
Approve,m,Change my behavior by causing me to cite more women,909
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1162
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,273
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,694
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,589
Approve,m,Change my behavior by causing me to cite more women,136
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1148
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,387
Approve,m,Change my behavior by causing me to cite more women,1332
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,441
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,753
Approve,m,Change my behavior by causing me to cite more women,1339
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1013
Approve,m,Change my behavior by causing me to cite more women,306
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1241
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,725
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,611
