genderpolicy_Response,gender,genderpolicy_2__Response,ResponseId
Approve,m,Change my behavior causing me to cite more women,500
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,577
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,951
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,363
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,73
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1509
Approve,f,Change my behavior causing me to cite more women,208
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,43
Approve,NA,Change my behavior causing me to cite more women,35
Approve,f,Change my behavior causing me to cite more women,1653
Approve,NA,Change my behavior causing me to cite more women,766
Approve,m,Change my behavior causing me to cite more women,865
Don't know,m,Change my behavior causing me to cite more women,724
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,411
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,116
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,744
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,925
Approve,f,Change my behavior causing me to cite more women,174
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1728
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,593
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,760
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,916
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1108
Don't know,m,Change my behavior causing me to cite more women,1602
Approve,NA,Change my behavior causing me to cite more women,354
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,209
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1551
Approve,m,Change my behavior causing me to cite more women,671
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,698
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1445
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,108
Approve,NA,Change my behavior causing me to cite more women,520
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,310
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1736
Approve,f,Change my behavior causing me to cite more women,634
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1011
Approve,m,Change my behavior causing me to cite more women,1418
Approve,m,Change my behavior causing me to cite more women,1483
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1201
Approve,m,Change my behavior causing me to cite more women,211
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1687
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1556
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,650
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1405
Approve,f,Change my behavior causing me to cite more women,1096
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1450
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,731
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,684
Don't know,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1235
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1482
Disapprove,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1413
Disapprove,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,612
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,290
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,390
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1286
Approve,NA,Change my behavior causing me to cite more women,1730
Approve,NA,Change my behavior causing me to cite more women,1486
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1690
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,550
Don't know,f,Change my behavior causing me to cite more women,58
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,568
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1536
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,870
Approve,NA,Change my behavior causing me to cite more women,1726
Approve,NA,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,891
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1273
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,63
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,982
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,853
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,177
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,502
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,48
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1681
Approve,NA,Change my behavior causing me to cite more women,326
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1137
Approve,m,Change my behavior causing me to cite more women,579
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,886
Approve,f,Change my behavior causing me to cite more women,828
Approve,NA,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,469
