treatment,standardized,gender,Country,Subfield,Rank,Ethnicity,resp_gender,age,paradigm,sample,ResponseId
rank_control,James Fearon,m,US,Religion in IR,Assistant Professor,1,m,NA,Constructivism,US,320
rank_control,Martha Finnemore,f,US,International/Global Security,Assistant Professor,0,f,NA,Non-paradigmatic,US,468
rank_control,Charles Tilly,m,NA,Other,Full Professor,1,f,NA,Realism,US,579
rank_control,Samuel P. Huntington,m,US,Development Studies,Associate Professor,0,m,50,Realism,US,166
rank_control,Martha Finnemore,f,US,Development Studies,Assistant Professor,1,f,NA,Constructivism,US,396
rank_control,Martha Finnemore,f,US,International/Global Security,Assistant Professor,1,f,NA,Non-paradigmatic,US,694
rank_control,Alexander Wendt,m,US,International Relations Theory,Full Professor,1,m,59,Other,US,110
rank_control,Robert Jervis,m,US,International/Global Security,Associate Professor,0,m,46,Liberalism,US,288
rank_control,James Fearon,m,US,International/Global Security,Full Professor,0,m,69,Liberalism,US,95
rank_control,William Thompson,m,US,International/Global Security,Full Professor,1,m,NA,Other,US,733
rank_control,Helen V. Milner,f,US,Other,Full Professor,1,m,NA,Non-paradigmatic,US,609
rank_control,Alexander Wendt,m,US,International Relations Theory,Assistant Professor,1,m,40,Constructivism,US,369
rank_control,Robert O. Keohane,m,US,International Relations Theory,Full Professor,1,m,57,Liberalism,US,704
rank_control,David A. Lake,m,US,International/Global Security,Associate Professor,1,m,NA,Other,US,107
rank_control,Alexander Wendt,m,US,International Relations Theory,Full Professor,1,m,54,Constructivism,US,571
rank_control,Martha Finnemore,f,US,International Relations Theory,Associate Professor,1,m,NA,Constructivism,US,577
rank_control,John J. Mearsheimer,m,US,International/Global Security,Assistant Professor,1,m,NA,Realism,US,56
rank_control,Kenneth Waltz,m,US,International Organization(s),Associate Professor,0,f,56,Liberalism,US,757
rank_control,Kenneth Waltz,m,US,U.S. Foreign Policy,Assistant Professor,1,m,NA,Liberalism,US,425
rank_control,Thomas C. Schelling,m,US,Other,Emeritus,1,m,85,Constructivism,US,435
rank_control,Jack S. Levy,m,US,International/Global Security,Associate Professor,1,m,NA,Non-paradigmatic,US,249
rank_control,Joseph S. Nye Jr.,m,US,International/Global Security,Associate Professor,1,m,49,Non-paradigmatic,US,688
rank_control,Kenneth Waltz,m,US,International/Global Environmental Politics,Associate Professor,1,m,NA,Other,US,650
rank_control,Graham T. Allison,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,692
rank_control,Beth A. Simmons,f,US,International/Global Political Economy,Assistant Professor,1,f,40,Constructivism,US,189
rank_control,Alexander Wendt,m,US,International/Global Health,Associate Professor,1,f,NA,Constructivism,US,500
rank_control,James Fearon,m,US,U.S. Foreign Policy,Full Professor,1,m,52,Realism,US,374
rank_control,Reinhold Niebuhr,m,NA,Other,Full Professor,1,m,NA,Constructivism,US,289
rank_control,Alexander Wendt,m,US,U.S. Foreign Policy,Assistant Professor,1,m,NA,Constructivism,US,234
