treatment,standardized,gender,Subfield,Rank,resp_gender,age,paradigm,contact_group,sample,ResponseId
rank_control,Robert Putnam,m,International/Global Political Economy,Full Professor,m,NA,Constructivism,Hong Kong 2017,International,162
rank_control,Nassef Adiong,m,${e://Field/CountryAdj} Foreign Policy,Other,m,NA,Constructivism,Philippines 2017,International,196
rank_control,Monica Duffy Toft,f,Comparative Foreign Policy,Other,m,35,Constructivism,Israel 2017,International,122
rank_control,Oliver Richmond,m,Other,Assistant Professor,m,NA,Non-paradigmatic,Ireland 2017,International,481
rank_control,Kenneth Waltz,m,International Relations of a particular region/country,Assistant Professor,f,36,Constructivism,Ireland 2017,International,71
rank_control,Francis Fukuyama,m,International/Global Security,NA,m,42,Liberalism,Israel 2017,International,21
rank_control,Richard Ned Lebow,m,International Relations Theory,NA,NA,NA,Constructivism,Israel 2017,International,17
rank_control,Michael Brecher,m,International Relations of a particular region/country,NA,f,50,Liberalism,Israel 2017,International,537
rank_control,James Fearon,m,International Relations Theory,NA,NA,NA,Non-paradigmatic,Denmark 2017,International,250
rank_control,Alexander Wendt,m,Human Security,Other,m,45,Non-paradigmatic,Ireland 2017,International,282
rank_control,Noam Chomsky,m,Comparative Foreign Policy,Full Professor,m,NA,Other,Philippines 2017,International,134
rank_control,James N. Rosenau,m,International/Global Security,NA,f,NA,Other,Israel 2017,International,245
rank_control,Robert Gilpin,m,International Relations Theory,Associate Professor,m,58,Other,Israel 2017,International,294
rank_control,Alastair I. Johnston,m,International Organization(s),Assistant Professor,f,NA,Constructivism,Hong Kong 2017,International,61
rank_control,J. Ann Tickner,f,Religion in IR,Associate Professor,m,NA,Other,Philippines 2017,International,559
rank_control,Immanuel Kant,m,History of the international relations discipline,NA,m,NA,Liberalism,Philippines 2017,International,201
rank_control,Peter M. Haas,m,International/Global Political Economy,NA,m,50,Liberalism,Israel 2017,International,249
rank_control,Alexander Wendt,m,Other,Associate Professor,m,NA,Liberalism,Philippines 2017,International,289
rank_control,Alexander Wendt,m,International/Global Political Economy,NA,m,42,Liberalism,Israel 2017,International,352
rank_control,John J. Mearsheimer,m,International/Global Political Economy,NA,m,39,Non-paradigmatic,Israel 2017,International,518
rank_control,John J. Mearsheimer,m,International/Global Political Economy,NA,m,39,Non-paradigmatic,Israel 2017,International,518
rank_control,John J. Mearsheimer,m,International/Global History,NA,NA,NA,Realism,Israel 2017,International,117
rank_control,Alexander Wendt,m,International Organization(s),Other,m,NA,Liberalism,Philippines 2017,International,72
rank_control,James Fearon,m,International/Global Security,Assistant Professor,m,NA,Non-paradigmatic,Ireland 2017,International,496
rank_control,Joseph S. Nye Jr.,m,${e://Field/CountryAdj} Foreign Policy,Associate Professor,m,NA,Liberalism,Philippines 2017,International,221
rank_control,Robert W. Cox,m,Comparative Foreign Policy,Associate Professor,m,48,Constructivism,South Africa 2017,International,232
rank_control,James N. Rosenau,m,Comparative Foreign Policy,Emeritus,f,NA,Liberalism,Philippines 2017,International,459
rank_control,Peter J. Katzenstein,m,European Studies/European Integration,Other,m,73,Constructivism,Ireland 2017,International,42
rank_control,Alexander Wendt,m,${e://Field/CountryAdj} Foreign Policy,Assistant Professor,NA,42,Constructivism,South Africa 2017,International,168
rank_control,Jared Diamond,m,I am not an IR scholar,NA,f,NA,Constructivism,Philippines 2017,International,564
rank_control,Alexander Wendt,m,International/Global Security,Associate Professor,f,40,Liberalism,New Zealand 2017,International,211
rank_control,Peter J. Katzenstein,m,International Relations of a particular region/country,Assistant Professor,m,NA,Non-paradigmatic,Hong Kong 2017,International,325
rank_control,Kenneth Waltz,m,International/Global Security,Assistant Professor,m,NA,Liberalism,Philippines 2017,International,448
rank_control,Peter J. Katzenstein,m,Human Rights,Other,m,NA,Constructivism,Netherlands 2017,International,382
rank_control,Stephen R. Gill,m,Development studies,Other,m,NA,Other,Netherlands 2017,International,73
rank_control,Ole Wæver,m,International Relations Theory,Assistant Professor,m,NA,Non-paradigmatic,Netherlands 2017,International,547
rank_control,Cynthia Enloe,f,Gender in IR,Assistant Professor,f,NA,Other,Netherlands 2017,International,499
rank_control,Ole Waever,NA,Other,Full Professor,m,NA,Constructivism,Netherlands 2017,International,215
rank_control,Alexander Wendt,m,Comparative Foreign Policy,Full Professor,m,57,Liberalism,Netherlands 2017,International,443
rank_control,Kenneth Waltz,m,History of the international relations discipline,Assistant Professor,f,NA,Constructivism,Netherlands 2017,International,346
rank_control,Eric Helleiner,m,Other,Other,f,NA,Other,Netherlands 2017,International,461
rank_control,Oliver Richmond,m,Other,Other,NA,NA,Other,Sweden 2017,International,227
rank_control,Barry Buzan,m,U.S. Foreign Policy,Other,NA,NA,Other,Sweden 2017,International,391
rank_control,Joseph S. Nye Jr.,m,International Relations of a particular region/country,Assistant Professor,NA,40,Realism,Norway 2017,International,468
rank_control,Thomas C. Schelling,m,Other,Other,NA,NA,Realism,Sweden 2017,International,446
rank_control,Hedley Bull,m,International/Global Security,Full Professor,NA,NA,Realism,Sweden 2017,International,206
rank_control,Kenneth Waltz,m,International Relations Theory,Other,NA,NA,Non-paradigmatic,Denmark 2017,International,97
rank_control,James Fearon,m,Development studies,Associate Professor,m,NA,Liberalism,Norway 2017,International,128
rank_control,Robert O. Keohane,m,International Organization(s),Assistant Professor,m,34,Liberalism,Netherlands 2017,International,404
rank_control,Alexander Wendt,m,International Relations Theory,Associate Professor,NA,NA,Other,Denmark 2017,International,561
rank_control,Joseph S. Nye Jr.,m,International/Global Political Economy,Full Professor,NA,NA,Realism,Norway 2017,International,469
rank_control,James Fearon,m,International/Global Security,Associate Professor,f,NA,Non-paradigmatic,United Kingdom 2017,International,548
rank_control,Joseph S. Nye Jr.,m,Other,Full Professor,m,NA,Non-paradigmatic,Netherlands 2017,International,178
rank_control,Alexander Wendt,m,European Studies/European Integration,Full Professor,f,52,Constructivism,United Kingdom 2017,International,189
rank_control,Robert O. Keohane,m,European Studies/European Integration,Other,NA,NA,Liberalism,Netherlands 2017,International,492
rank_control,David E. Campbell,m,International Relations Theory,Associate Professor,m,42,Other,United Kingdom 2017,International,283
rank_control,John G. Ruggie,m,International/Global History,Assistant Professor,NA,NA,Other,United Kingdom 2017,International,558
rank_control,David A. Lake,m,International/Global Political Economy,Associate Professor,f,40,Non-paradigmatic,United Kingdom 2017,International,402
rank_control,Daniel Drezner,m,International/Global Security,Assistant Professor,m,NA,Realism,United Kingdom 2017,International,30
rank_control,Robert O. Keohane,m,International/Global Security,Associate Professor,m,40,Liberalism,United Kingdom 2017,International,316
rank_control,Cynthia Enloe,f,International/Global Environmental Politics,Full Professor,f,50,Other,United Kingdom 2017,International,277
rank_control,Alexander Wendt,m,Other,Associate Professor,m,61,Other,United Kingdom 2017,International,62
rank_control,Ole Wæver,m,International Relations Theory,Full Professor,m,45,Constructivism,Sweden 2017,International,163
rank_control,Hans Morgenthau,m,International Relations of a particular region/country,Assistant Professor,m,33,Non-paradigmatic,United Kingdom 2017,International,23
rank_control,Richard K. Betts,m,International/Global History,Assistant Professor,NA,NA,Realism,United Kingdom 2017,International,110
rank_control,Robert W. Cox,m,International/Global Political Economy,Assistant Professor,m,51,Other,United Kingdom 2017,International,362
rank_control,Robert O. Keohane,m,International/Global Political Economy,Assistant Professor,m,34,Non-paradigmatic,United Kingdom 2017,International,197
rank_control,Alastair I. Johnston,m,International Relations Theory,Assistant Professor,f,NA,Constructivism,United Kingdom 2017,International,268
rank_control,John G. Ruggie,m,International/Global Political Economy,Full Professor,NA,NA,Non-paradigmatic,Netherlands 2017,International,151
rank_control,Robert W. Cox,m,International Relations of a particular region/country,Full Professor,m,48,Other,United Kingdom 2017,International,472
rank_control,Kathryn A. Sikkink,f,Comparative Foreign Policy,Associate Professor,f,45,Other,Sweden 2017,International,298
rank_control,Susan Strange,f,Development studies,Other,NA,NA,Realism,Norway 2017,International,264
rank_control,Susan Strange,f,Development studies,Other,NA,NA,Realism,Norway 2017,International,264
rank_control,Alexander Wendt,m,International/Global Political Economy,Other,NA,NA,Constructivism,Denmark 2017,International,38
rank_control,Barry Buzan,m,International Relations Theory,Associate Professor,m,55,Other,United Kingdom 2017,International,247
rank_control,Bruce Bueno de Mesquita,m,International/Global Security,Assistant Professor,m,37,Non-paradigmatic,United Kingdom 2017,International,86
rank_control,Alexander Wendt,m,Other,Assistant Professor,NA,NA,Other,United Kingdom 2017,International,311
rank_control,Fred Halliday,m,International/Global History,Full Professor,m,64,Non-paradigmatic,United Kingdom 2017,International,124
rank_control,Andrew Moravcsik,m,European Studies/European Integration,Full Professor,NA,NA,Constructivism,United Kingdom 2017,International,4
rank_control,Peter J. Katzenstein,m,International/Global Security,NA,NA,NA,Constructivism,Israel 2017,International,315
rank_control,Robert O. Keohane,m,International/Global Political Economy,Associate Professor,f,38,Liberalism,United Kingdom 2017,International,527
